,Date,Unix,Ticker,Debt/Equity Ratio,Stock Price,Stock Percent Change,SP500,SP500 Percent Change,Difference
102,2004-05-12 18:03:39,1084374219.0,adp,0.015,45.7,0.0,1097.280029,0.0,0.0
103,2006-06-27 09:26:37,1151389597.0,adp,0.012,44.48,-2.6695842450765994,1239.199951,12.933792491360474,-15.603376736437074
104,2007-02-20 18:32:39,1171985559.0,adp,0.012,50.7,10.940919037199125,1459.680054,33.027123015286364,-22.08620397808724
105,2007-10-22 09:12:40,1193033560.0,adp,0.008,47.52,3.982494529540482,1506.329956,37.27853566903841,-33.29604113949793
106,2008-01-23 19:35:35,1201106135.0,adp,0.078,38.56,-15.62363238512035,1338.599976,21.992558018204843,-37.61619040332519
107,2003-10-03 16:48:40,1065188920.0,adsk,0.0,18.44,0.0,1029.849976,0.0,0.0
108,2004-08-03 23:39:21,1091565561.0,adsk,0.0,39.96,116.70281995661604,1099.689941,6.781566891059492,109.92125306555654
109,2005-02-25 15:10:44,1109333444.0,adsk,0.0,29.83,61.767895878524925,1211.369995,17.625870100520356,44.142025778004566
110,2005-04-19 09:08:08,1113890888.0,adsk,0.0,31.69,71.85466377440348,1152.780029,11.93669523375316,59.91796854065032
111,2004-09-24 17:33:50,1096036430.0,aee,0.804,46.07,0.0,1110.109985,0.0,0.0
112,2004-11-02 15:30:15,1099398615.0,aee,0.804,48.01,4.210983286303446,1130.560059,1.84216647686489,2.3688168094385564
113,2005-12-16 06:43:01,1134704581.0,aee,0.863,52.32,13.566312133709571,1267.319946,14.16165633353888,-0.5953441998293094
114,2006-01-10 11:29:29,1136881769.0,aee,0.863,51.66,12.133709572389833,1289.689941,16.176771529534527,-4.043061957144694
115,2007-02-20 06:12:12,1171941132.0,aee,0.965,53.51,16.14933796396787,1459.680054,31.489678835741653,-15.340340871773783
116,2008-01-23 19:17:07,1201105027.0,aee,1.02,46.34,0.5860646841762603,1338.599976,20.58264443049757,-19.99657974632131
117,2008-12-08 10:59:42,1228723182.0,aeo,0.054,9.73,0.0,909.7000119999999,0.0,0.0
118,2009-01-12 14:36:10,1231760170.0,aeo,0.054,10.13,4.110996916752316,870.26001,-4.335495380866274,8.44649229761859
119,2004-08-03 23:58:46,1091566726.0,aep,1.754,31.64,0.0,1099.689941,0.0,0.0
120,2005-04-04 22:37:45,1112643465.0,aep,1.435,33.96,7.332490518331227,1176.119995,6.950145777499653,0.38234474083157366
121,2007-03-07 02:53:36,1173225216.0,aep,1.342,45.33,43.26801517067003,1391.969971,26.57840352110667,16.689611649563364
122,2007-04-10 20:12:53,1176225173.0,aep,1.457,49.34,55.94184576485463,1448.390015,31.70894458513555,24.232901179719075
123,2008-01-23 20:30:47,1201109447.0,aep,1.55,43.82,38.49557522123894,1338.599976,21.72521781755571,16.770357403683228
124,2003-10-03 17:23:47,1065191027.0,aes,101.18,7.96,0.0,1029.849976,0.0,0.0
125,2003-12-15 21:31:38,1071513098.0,aes,29.748,8.39,5.402010050251263,1068.040039,3.70831323882072,1.6936968114305433
126,2004-08-04 00:04:30,1091567070.0,aes,15.619,9.66,21.356783919597994,1098.630005,6.6786454923411105,14.678138427256883
127,2004-10-26 04:29:14,1098754154.0,aes,15.619,11.05,38.819095477386945,1111.089966,7.888526668276588,30.930568809110355
128,2005-02-18 08:12:43,1108703563.0,aes,10.698,16.48,107.03517587939697,1201.589966,16.67621440037787,90.3589614790191
129,2007-04-11 05:09:29,1176257369.0,aes,6.513,22.42,181.65829145728645,1438.869995,39.71646633315065,141.9418251241358
130,2008-01-23 21:05:49,1201111549.0,aes,5.378,17.9,124.87437185929646,1338.599976,29.980094887141117,94.89427697215534
131,2008-04-23 21:50:03,1208976603.0,aes,5.687,17.63,121.48241206030148,1379.930054,33.993308361255906,87.48910369904559
132,2004-08-03 20:44:23,1091555063.0,aet,0.193,86.6,0.0,1099.689941,0.0,0.0
133,2004-11-30 04:45:36,1101779136.0,aet,0.178,118.21,36.50115473441109,1173.819946,6.7409914591553015,29.760163275255785
134,2005-02-04 06:20:07,1107487207.0,aet,0.178,130.85,51.096997690531175,1203.030029,9.397202261032586,41.69979542949859
135,2005-04-08 02:12:37,1112915557.0,aet,0.177,76.32,-11.870669745958432,1181.199951,7.412090168423206,-19.28275991438164
136,2005-09-23 17:26:49,1127485609.0,aet,0.17,82.71,-4.491916859122403,1215.290039,10.512062872456509,-15.003979731578912
137,2006-01-11 03:31:09,1136939469.0,aet,0.172,92.65,6.986143187066989,1294.180054,17.685904521700067,-10.699761334633077
138,2007-01-25 23:46:33,1169757993.0,aet,0.253,41.1,-52.54041570438799,1423.900024,29.481954041080012,-82.022369745468
139,2007-02-20 08:05:18,1171947918.0,aet,0.253,45.61,-47.3325635103926,1459.680054,32.73560115250702,-80.06816466289962
140,2008-01-23 22:12:23,1201115543.0,aet,0.31,54.11,-37.51732101616628,1338.599976,21.72521781755571,-59.24253883372199
141,2008-02-22 22:13:00,1203707580.0,aet,0.31,50.13,-42.113163972286365,1353.109985,23.044681464445617,-65.15784543673198
142,2003-10-03 17:29:50,1065191390.0,afl,0.173,33.43,0.0,1029.849976,0.0,0.0
143,2005-01-25 00:35:34,1106602534.0,afl,0.189,39.58,18.396649715824108,1168.410034,13.454392506583893,4.942257209240214
144,2005-03-17 18:20:48,1111072848.0,afl,0.189,38.22,14.328447502243492,1190.209961,15.571198595629241,-1.242751093385749
145,2005-04-06 19:09:19,1112803759.0,afl,0.189,37.0,10.679030810649119,1184.069946,14.974993794630151,-4.295962983981033
146,2007-02-20 18:32:53,1171985573.0,afl,0.171,48.45,44.92970385880946,1459.680054,41.73715473291422,3.1925491258952405
147,2008-01-23 12:52:38,1201081958.0,afl,0.172,61.31,83.39814537840265,1338.599976,29.980094887141117,53.418050491261525
148,2009-01-29 12:02:15,1233219735.0,afl,0.241,25.06,-25.037391564463064,845.1400150000001,-17.935618323498403,-7.101773240964661
149,2003-11-17 22:46:03,1069098363.0,agn,0.739,76.65,0.0,1043.630005,0.0,0.0
150,2004-08-10 02:33:38,1092094418.0,agn,0.637,69.32,-9.562948467058071,1079.040039,3.3929681812856654,-12.955916648343736
151,2004-11-02 14:09:49,1099393789.0,agn,0.637,72.5,-5.414220482713641,1130.560059,8.329585541189948,-13.743806023903588
152,2005-03-10 01:40:57,1110408057.0,agn,0.522,75.47,-1.5394651011089455,1209.25,15.869608405902436,-17.40907350701138
153,2005-04-04 23:20:33,1112646033.0,agn,0.522,69.07,-9.889106327462507,1176.119995,12.695111233410735,-22.584217560873242
154,2005-08-29 12:42:47,1125308567.0,agn,0.51,92.83,21.10893672537507,1212.280029,16.159943964048836,4.948992761326235
155,2006-06-21 09:29:01,1150871341.0,agn,0.47,104.14,35.86431833007174,1252.199951,19.98504690366775,15.879271426403989
156,2007-02-20 16:30:00,1171978200.0,agn,0.544,113.32,47.840834964122614,1459.680054,39.865665705922275,7.975169258200339
157,2008-01-23 23:06:53,1201118813.0,agn,0.449,65.01,-15.185909980430528,1338.599976,28.263845384552738,-43.44975536498327
158,2004-08-18 11:50:54,1092819054.0,aig,1.173,68.32,0.0,1095.170044,0.0,0.0
159,2005-01-18 04:07:03,1106010423.0,aig,1.162,66.14,-3.1908665105386316,1195.97998,9.204957399291331,-12.395823909829963
160,2005-04-28 12:07:20,1114679240.0,aig,1.162,51.85,-24.107142857142847,1143.219971,4.387439855869545,-28.49458271301239
161,2007-03-15 06:01:57,1173927717.0,aig,1.687,67.0,-1.9320843091334798,1392.280029,27.12911904664917,-29.06120335578265
162,2007-05-04 05:36:10,1178246170.0,aig,1.687,70.65,3.410421545667466,1505.619995,37.478193751618,-34.06777220595053
163,2007-06-05 04:27:22,1181006842.0,aig,1.614,72.55,6.191451990632324,1530.949951,39.791072572470775,-33.59962058183845
164,2007-07-06 07:35:21,1183696521.0,aig,1.614,70.27,2.8542154566744777,1530.439941,39.74450354852841,-36.89028809185393
165,2008-01-23 16:02:26,1201093346.0,aig,1.918,52.07,-23.7851288056206,1338.599976,22.22759226602805,-46.012721071648656
166,2008-05-23 12:57:40,1211536660.0,aig,2.282,37.81,-44.65749414519905,1375.930054,25.636202481812948,-70.293696627012
167,2008-10-27 11:48:40,1225097320.0,aig,2.411,1.7,-97.51170960187353,848.919983,-22.485098304971533,-75.026611296902
168,2008-12-17 11:42:57,1229503377.0,aig,3.273,1.8,-97.36533957845434,904.419983,-17.417392125089933,-79.9479474533644
169,2008-12-19 05:47:27,1229654847.0,aig,3.273,1.67,-97.55562060889929,887.8800050000001,-18.927657867895434,-78.62796274100386
170,2009-01-06 14:34:51,1231241691.0,aig,3.273,1.66,-97.57025761124122,934.7000119999999,-14.652522033372936,-82.91773557786829
